,track_id,artist,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
409,0YGQ3hZcRLC5YX7o0hdmHg,Beyoncé,"['dance pop', 'pop', 'r&b']",0.588,0.461,6.0,-8.686,0.0,0.161,0.237,1.54e-05,0.0913,0.659,200.053
410,1VmKmRUxKSyNMF2x3ndgst,Arcade Fire,"['baroque pop', 'canadian indie', 'indie rock', 'modern rock', 'new rave', 'permanent wave', 'quebec indie', 'rock']",0.317,0.651,3.0,-6.492,1.0,0.0274,0.0561,8.82e-05,0.278,0.283,102.642
411,6GRDI9suQHikFP6euIXnpq,Family of the Year,['stomp and holler'],0.341,0.539,5.0,-5.76,1.0,0.0265,0.213,6.44e-05,0.109,0.267,174.564
412,5bg8l1G7AYHajF1l7cZA9G,Claude Debussy,"['classical', 'impressionism', 'post-romantic era']",0.333,0.032,1.0,-23.959,1.0,0.0546,0.993,0.891,0.141,0.0754,68.002
413,0n0eMsX7WgEtc7dlscbuKU,Lenny Kravitz,"['permanent wave', 'pop rock', 'rock']",0.597,0.868,7.0,-5.095,1.0,0.0526,0.0212,0.0,0.664,0.709,160.021
414,7JDQfkkEtcYpiVP9OEeJ8y,Lester Young,"['adult standards', 'bebop', 'big band', 'hard bop', 'jazz', 'jazz saxophone', 'stride', 'swing', 'vocal jazz']",0.584,0.025,0.0,-19.157,1.0,0.0762,0.986,0.176,0.107,0.174,116.397
415,25U7raB3ZSszayTYClh4hF,Israel Kamakawiwo'ole,['hawaiian'],0.663,0.168,0.0,-13.725,1.0,0.0448,0.928,5.68e-05,0.361,0.678,85.005
416,0badzfVKdc475dNMlmUvfy,Sheryl Crow,"['lilith', 'mellow gold', 'neo mellow', 'new wave pop', 'permanent wave', 'pop rock', 'rock']",0.715,0.725,4.0,-5.743,1.0,0.0458,0.0453,0.0,0.12,0.718,119.987
417,5iazUEBq5x9yJCbrjVQoca,Ester Dean,[],0.703,0.481,9.0,-7.728,0.0,0.126,0.481,0.0,0.194,0.549,140.06
418,0wuRFAZfya3gwGw3c6567P,Molotov,"['latin alternative', 'latin hip hop', 'latin rock', 'mexican hip hop', 'mexican rock', 'rock en espanol']",0.702,0.657,1.0,-9.06,0.0,0.0359,0.337,0.0,0.26,0.629,80.866
419,2VhPOtIQw2UpQmRVevdviU,Jessie J,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",0.707,0.752,0.0,-4.401,0.0,0.0885,0.269,0.0,0.377,0.724,150.061
420,0THbsvMRmCHpFT3YLX301c,Plain White T's,"['neo mellow', 'pop punk', 'pop rock']",0.658,0.296,2.0,-10.584,1.0,0.0293,0.872,0.0,0.114,0.311,103.975
421,0r2Bul2NuCViraT2zX1l5j,Lil Jon & The East Side Boyz,"['atl hip hop', 'atlanta bass', 'crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.521,0.625,1.0,-7.47,1.0,0.067,0.0301,0.0,0.121,0.136,101.019
422,5tjrH5xrpkgKgYd8zQgU8X,Milky Chance,['german pop'],0.879,0.574,11.0,-8.794,1.0,0.037,0.405,0.00015,0.0913,0.682,114.001
423,7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,"['folk-pop', 'pop']",0.484,0.731,1.0,-6.694,1.0,0.0379,0.431,0.0,0.151,0.51,101.654
424,0ZJAa6BO0RxPYUejFJVxMQ,Oasis,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'pop rock', 'rock']",0.301,0.869,2.0,-2.275,1.0,0.0406,0.215,0.0028,0.357,0.116,150.518
425,1v0uVPU6BWcbog5BiWLWVa,Trent Reznor and Atticus Ross,['soundtrack'],0.204,0.154,2.0,-25.379,1.0,0.0421,0.971,0.945,0.103,0.0389,114.21
426,5G6aQWH215hCxdhfCqI7XB,M.I.A.,"['dance pop', 'indietronica', 'new rave']",0.635,0.935,1.0,-2.157,1.0,0.0867,0.00625,0.0,0.0901,0.347,143.432
427,3QmesrvdbPjwf7i40nht1D,Foo Fighters,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",0.643,0.344,2.0,-11.342,1.0,0.0349,0.909,0.0112,0.106,0.547,144.171
428,5a5so8nqDGq75MI5WMbBtT,Nicki Minaj,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",0.948,0.632,2.0,-5.463,1.0,0.146,0.0582,0.000106,0.204,0.742,130.018
429,3wf3jWAQHsnPNfUtNSQvkz,The Black Keys,"['alternative rock', 'blues rock', 'garage rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock', 'roots rock']",0.475,0.836,4.0,-5.446,1.0,0.0529,0.0175,0.0,0.104,0.723,123.144
430,3RmKpob8xzv1pzHEQrMJah,Eve,"['dance pop', 'gangster rap', 'hip hop', 'hip pop', 'philly rap', 'pop rap', 'r&b', 'rap', 'urban contemporary']",0.908,0.557,8.0,-4.243,0.0,0.107,0.242,0.0,0.0709,0.897,90.032
431,3SwlakM6VX47IwG0Wll5ek,Nelly Furtado,"['canadian latin', 'canadian pop', 'dance pop', 'pop', 'pop rap']",0.807,0.97,10.0,-6.056,0.0,0.0477,0.0536,6.6e-05,0.149,0.876,114.297
432,4RY96Asd9IefaL3X4LOLZ8,50 Cent,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",0.902,0.72,6.0,-2.776,0.0,0.347,0.26,0.0,0.0749,0.805,90.059
433,24vNw0Z0srb4zYXwrakw8E,Wu-Tang Clan,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",0.826,0.566,10.0,-10.747,0.0,0.311,0.199,0.0,0.356,0.655,99.131
434,636vdFAufIda3oSxnafrDI,Timbaland,"['dance pop', 'hip hop', 'pop', 'pop rap']",0.743,0.828,3.0,-6.273,0.0,0.0692,0.167,0.744,0.132,0.753,114.725
435,0O45fw2L5vsWpdsOdXwNAR,Justin Timberlake,"['dance pop', 'pop']",0.967,0.583,7.0,-5.562,0.0,0.0789,0.0584,0.0,0.0519,0.964,117.0
436,62bOmKYxYg7dhrC6gH9vFn,*NSYNC,"['boy band', 'dance pop']",0.61,0.926,8.0,-4.843,0.0,0.0479,0.031,0.0012,0.0821,0.861,172.638
437,2AW37v0bDyuOzGP3XnmFuA,*NSYNC,"['boy band', 'dance pop']",0.636,0.873,0.0,-4.672,0.0,0.071,0.0407,1.27e-06,0.0372,0.908,165.071
438,2D1hlMwWWXpkc3CZJ5U351,50 Cent,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",0.7,0.758,10.0,-3.012,0.0,0.342,0.0444,1.3e-05,0.0401,0.889,78.693
439,5M8nEsWqUkwUwCp58ydE4W,JAY-Z,"['east coast hip hop', 'hip hop', 'rap']",0.653,0.928,1.0,-1.787,1.0,0.24,0.289,0.0,0.299,0.416,86.764
440,66TRwr5uJwPt15mfFkzhbi,Soulja Boy,"['atl hip hop', 'chicago bop', 'dance pop', 'dirty south rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'viral rap']",0.736,0.74,0.0,-2.18,1.0,0.0786,0.515,0.0,0.0468,0.803,140.141
441,6qUEOWqOzu1rLPUPQ1ECpx,Run–D.M.C.,"['east coast hip hop', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'queens hip hop', 'rap']",0.761,0.711,9.0,-7.989,1.0,0.0604,0.0174,0.000101,0.0652,0.947,105.448
442,3c4bJL7mARZvd387847GsC,Depeche Mode,"['dance rock', 'new romantic', 'new wave', 'permanent wave', 'synthpop']",0.568,0.837,1.0,-6.138,1.0,0.0266,0.09,0.0587,0.0994,0.853,104.988
443,32lm3769IRfcnrQV11LO4E,Enrique Iglesias,"['latin pop', 'mexican pop']",0.723,0.777,7.0,-3.503,1.0,0.108,0.0426,3.68e-06,0.0451,0.961,91.017
444,23V08GxMeaZNSf8Gy6KF6t,Andrew Gold,"['soft rock', 'underground power pop']",0.806,0.447,7.0,-10.181,1.0,0.0461,0.27,3.7e-06,0.335,0.914,77.033
445,4oeRfmp9XpKWym6YD1WvBP,Ingrid Michaelson,"['acoustic pop', 'ectofolk', 'indiecoustica', 'lilith', 'neo mellow', 'pop rock']",0.697,0.298,0.0,-7.635,1.0,0.0551,0.92,0.0,0.0874,0.509,134.216
446,55QvdRy6h9fQVIelyKLMPx,Radiohead,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",0.499,0.815,7.0,-7.079,1.0,0.0361,0.00018,0.721,0.299,0.57,99.124
447,1vELwZM3uBYWd8HrtddD4l,GIMS,"['francoton', 'french hip hop', 'french pop', 'rap conscient']",0.781,0.944,9.0,-2.64,0.0,0.0615,0.0873,0.0795,0.117,0.965,103.003
448,69XUpOpjzDKcfdxqZebGiI,Destiny's Child,"['dance pop', 'girl group', 'hip pop', 'pop', 'r&b', 'urban contemporary']",0.73,0.602,6.0,-3.782,0.0,0.206,0.362,3.69e-06,0.169,0.927,97.954
449,17qrQ12fldvrBV0V1LN3u2,Tweedy,['alternative country'],0.757,0.378,9.0,-11.324,1.0,0.0435,0.275,0.916,0.175,0.388,140.044
450,3Q4WeJmzxuDpzMu9QjQqbM,Fergie,"['dance pop', 'pop', 'post-teen pop', 'rap']",0.708,0.641,7.0,-4.296,1.0,0.0335,0.205,0.0,0.0945,0.253,113.082
451,0z9UVN8VBHJ9HdfYsOuuNf,Taylor Swift,['pop'],0.471,0.3,7.0,-10.807,1.0,0.028,0.883,1.05e-05,0.0698,0.289,144.319
452,0Ph6L4l8dYUuXFmb71Ajnd,Ricky Martin,"['latin pop', 'mexican pop', 'puerto rican pop']",0.425,0.954,1.0,-3.756,0.0,0.0476,0.00414,0.0,0.0555,0.933,178.043
