,track_id,artist,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,5aOQFsNGiKJLbIFXA9427S,Hemant Kumar,"['classic bollywood', 'classic pakistani pop', 'filmi', 'ghazal', 'rabindra sangeet']",0.428,0.277,4.0,-12.571,1.0,0.0296,0.928,4.25e-05,0.126,0.438,93.942
1,1Y1Zqbk4UsJCTGRNMQSfV3,Wolfgang Amadeus Mozart,"['classical', 'classical era']",0.126,0.139,2.0,-17.939,0.0,0.0377,0.977,0.519,0.12,0.0425,89.382
2,,,,,,,,,,,,,,
3,08x3GCYn55rNhJZIZK3INS,Sukanya Purkayastha,[],0.638,0.564,2.0,-8.149,0.0,0.0295,0.0647,0.00696,0.115,0.392,80.012
4,0OlOqcPE9o9fYiF7ZiGMRX,Rahat Fateh Ali Khan,"['classic pakistani pop', 'filmi', 'modern bollywood', 'qawwali', 'sufi']",0.63,0.569,11.0,-8.435,0.0,0.0372,0.157,1.83e-05,0.106,0.485,134.203
5,6JPTrKw6pzAbMW7KHu1TTW,Sunidhi Chauhan,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",0.75,0.402,10.0,-9.748,1.0,0.054,0.386,0.0,0.134,0.75,119.833
6,5Ixo7kVPzQlpdn7VVHET7b,"Crosby, Stills, Nash & Young","['album rock', 'blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'supergroup']",0.444,0.721,0.0,-6.337,1.0,0.0261,0.225,0.00211,0.242,0.785,78.453
7,7EyJlnaIGHMWMQvO274iQm,Funk,[],0.827,0.608,0.0,-13.655,1.0,0.0503,0.0795,0.696,0.121,0.987,139.584
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,3PFaFVWq5wucLu6s4baj9D,The Internet,"['alternative r&b', 'hip hop', 'indie soul', 'lgbtq+ hip hop', 'neo soul', 'r&b', 'rap']",0.568,0.42,7.0,-11.169,0.0,0.276,0.536,0.124,0.101,0.453,79.89
16,7KwZNVEaqikRSBSpyhXK2j,The Notorious B.I.G.,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",0.901,0.697,9.0,-3.439,1.0,0.28,0.145,0.0,0.287,0.67,93.941
17,2D1uFfnp5ylRPNYbdEa5Kv,Foster The People,"['indietronica', 'modern rock', 'rock']",0.694,0.951,5.0,-5.4,0.0,0.0784,0.0523,0.00338,0.293,0.74,120.014
18,7sapKrjDij2fpDVj0GxP66,Maroon 5,['pop'],0.706,0.713,0.0,-5.512,0.0,0.0301,0.0596,0.0,0.132,0.544,102.037
19,6lUXneXZ9jc3HSMHgd8oqh,Al Green,"['classic soul', 'funk', 'memphis soul', 'quiet storm', 'soul', 'soul blues', 'southern soul']",0.467,0.42,4.0,-6.957,1.0,0.0398,0.509,2.56e-05,0.0707,0.365,146.512
20,45Yx7t5XLJhR39P0DncD3W,The Black Keys,"['alternative rock', 'blues rock', 'garage rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock', 'roots rock']",0.408,0.513,6.0,-5.952,1.0,0.0266,0.952,0.000705,0.166,0.264,143.832
21,2ZgJ3fxDrGSi3VKe84YDAe,Broken Bells,"['alternative dance', 'alternative rock', 'indie rock', 'indietronica', 'la indie', 'modern rock', 'new rave', 'rock']",0.585,0.653,3.0,-6.473,0.0,0.0377,0.364,0.0117,0.133,0.284,136.937
22,4e9eGQYsOiBcftrWXwsVco,System Of A Down,"['alternative metal', 'nu metal', 'rap metal']",0.364,0.922,0.0,-4.217,0.0,0.0567,0.000915,0.0346,0.0697,0.227,79.342
23,0jBE7Fn78EAvmIs3dCd6GO,The Strokes,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",0.667,0.692,5.0,-8.361,1.0,0.0285,0.147,3.75e-05,0.349,0.846,96.022
24,5BWMtYr3qsILJaxqnhnkbj,Franz Ferdinand,"['alternative rock', 'dance rock', 'indie rock', 'modern rock', 'rock', 'scottish rock']",0.454,0.672,6.0,-8.596,0.0,0.0292,0.00547,3.21e-06,0.179,0.735,114.446
25,2Y8K67mw2p3dIeBAAWOYaC,Nikolai Rimsky-Korsakov,"['avant-garde', 'classical', 'late romantic era', 'russian romanticism']",0.187,0.0241,7.0,-29.827,1.0,0.0399,0.956,0.704,0.0757,0.0391,128.405
26,5sqhKYHmQSGmGWzrgyL2nc,Jerry Douglas,"['bluegrass', 'instrumental bluegrass', 'jig and reel', 'progressive bluegrass']",0.502,0.372,0.0,-10.996,1.0,0.0313,0.677,5.61e-05,0.104,0.257,98.607
27,3gKwVWwKmeuFtPubICbOGc,Beastie Boys,"['alternative rock', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop', 'rap', 'rap rock', 'rock']",0.883,0.553,6.0,-13.232,0.0,0.944,0.0161,0.0,0.228,0.578,91.753
28,5uov7nNkEfgDlE1IeZepP2,Awaz,['classic pakistani pop'],0.881,0.299,6.0,-14.648,1.0,0.186,0.0378,6.68e-06,0.0614,0.8,76.487
29,0RRS27vZj5U0N2eIBctL4K,The Black Keys,"['alternative rock', 'blues rock', 'garage rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock', 'roots rock']",0.46,0.878,11.0,-5.564,1.0,0.0464,0.0817,5.58e-05,0.122,0.533,96.493
30,01nW6MdZU2KYjkYovWpjq6,Blind Pilot,"['indie folk', 'indie rock', 'neo mellow', 'new americana', 'portland indie', 'stomp and holler']",0.739,0.443,1.0,-13.002,1.0,0.0266,0.57,0.000895,0.0798,0.502,95.538
31,3tvzaoBm74ZECRkAY2TpVR,Blind Pilot,"['indie folk', 'indie rock', 'neo mellow', 'new americana', 'portland indie', 'stomp and holler']",0.578,0.59,0.0,-8.509,1.0,0.0483,0.637,0.000595,0.0698,0.776,133.875
32,05SMeNTtTXaRLqjzISb4TA,The Morning Benders,['indie rock'],0.404,0.834,10.0,-3.619,1.0,0.0605,0.355,0.0,0.115,0.764,193.395
33,2MVUtGLKs76ZoghnuXdSb8,The Fantasticks,[],0.556,0.135,5.0,-14.103,1.0,0.0492,0.977,0.0191,0.112,0.326,117.496
34,4eFc2uECJTbsZ0ciVZ601V,Wanda Jackson,"['nashville sound', 'oklahoma country', 'rock-and-roll', 'rockabilly']",0.42,0.953,5.0,-6.049,0.0,0.169,0.0379,0.000386,0.308,0.506,172.68
35,0XptA9hm7OA5QW11gPuzXA,The Soundtrack Of Our Lives,"['gothenburg indie', 'swedish hard rock', 'swedish psychedelic rock']",0.392,0.357,2.0,-9.285,0.0,0.0319,0.658,0.122,0.106,0.268,120.205
36,3p7hKG5voXWeSlpszlxTUF,Red Hot Chili Peppers,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']",0.683,0.734,4.0,-4.523,0.0,0.029,0.00112,0.0139,0.258,0.576,106.254
37,0v32NbDiKUNuECTAkeCL4a,Red Hot Chili Peppers,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']",0.592,0.767,9.0,-2.788,0.0,0.027,0.0021,0.00165,0.127,0.328,96.483
38,3sZ52LoX0ZERUr2KlRgnz6,Red Hot Chili Peppers,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']",0.641,0.502,7.0,-7.334,1.0,0.0251,0.156,4.35e-06,0.311,0.326,105.634
39,3djNBlI7xOggg7pnsOLaNm,2Pac,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",0.761,0.847,7.0,-3.068,1.0,0.0417,0.0292,2.26e-06,0.39,0.765,91.519
40,1Rz8BPFzWYOItgmZxb7ZJY,2Pac,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",0.848,0.687,5.0,-4.214,0.0,0.208,0.073,2.89e-05,0.437,0.605,85.077
41,00i2HU7TEzzftShjRrDSEF,2Pac,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",0.865,0.657,7.0,-6.722,1.0,0.076,0.0404,0.0,0.14,0.316,111.115
42,7MDUVH4ITohsIjdynRwCJp,Immortal Technique,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'harlem hip hop', 'hip hop', 'political hip hop']",0.666,0.871,1.0,-5.781,0.0,0.416,0.435,0.0,0.477,0.237,89.207
43,5TWPfkeN07aERO0Yn2D2t2,Fleetwood Mac,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']",0.723,0.49,9.0,-14.745,0.0,0.0296,0.111,0.0946,0.0923,0.795,129.012
44,1IBk5PttmnPcGnysEwtiXi,Lynyrd Skynyrd,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'southern rock']",0.433,0.756,6.0,-8.763,1.0,0.0443,0.00296,0.00166,0.268,0.415,120.574
45,3kyxRga5wDGbKdmxXssbps,Mumford & Sons,"['modern folk rock', 'stomp and holler', 'uk americana']",0.485,0.735,1.0,-5.929,1.0,0.0334,0.01,0.00794,0.213,0.456,131.234
46,5rpRzNcJZqKQXk9PIjreB6,Johnny Cash,"['arkansas country', 'outlaw country']",0.544,0.378,9.0,-8.607,0.0,0.0264,0.719,0.00035,0.105,0.149,91.078
47,2L0jeLBX2Ts5dp8LxjxjW8,Johnny Cash,"['arkansas country', 'outlaw country']",0.622,0.858,5.0,-7.299,1.0,0.0625,0.197,0.0104,0.933,0.89,110.831
48,6RFkVsPmrM4pzlDkFswwJl,Johnny Cash,"['arkansas country', 'outlaw country']",0.617,0.485,5.0,-8.227,0.0,0.115,0.868,3.44e-05,0.115,0.845,82.228
49,1UfM2ajGuUsvMVWn3Z5WCf,Johnny Cash,"['arkansas country', 'outlaw country']",0.491,0.199,2.0,-13.962,1.0,0.0344,0.909,0.000131,0.106,0.334,124.999
50,5PIbVWsxoBEgH3JjdF5iQK,Radiohead,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",0.255,0.393,5.0,-10.654,1.0,0.0278,0.0577,0.00361,0.113,0.118,76.426
51,5fpizYGbi5IQoEraj6FP0R,Beastie Boys,"['alternative rock', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop', 'rap', 'rap rock', 'rock']",0.734,0.864,2.0,-6.119,1.0,0.303,0.022,9.85e-06,0.246,0.47,105.932
52,6diFcq4UcYDlBeRVqOCWY1,Black Eyed Peas,"['dance pop', 'pop', 'pop rap']",0.803,0.716,2.0,-3.956,1.0,0.267,0.0649,0.0,0.248,0.574,112.962
53,4pLMlsadmtikr65V2111Sz,Delta Spirit,"['indie folk', 'indie rock', 'modern folk rock', 'modern rock', 'new americana', 'piano rock', 'stomp and holler']",0.514,0.684,8.0,-9.624,1.0,0.0373,0.395,0.359,0.258,0.494,80.958
54,4ycLiPVzE5KamivXrAzGFG,CeeLo Green,['atl hip hop'],0.69,0.834,0.0,-5.79,1.0,0.0566,0.129,0.0,0.136,0.738,127.43
55,7x93eCAiJQF7DUt979fj3p,ABBA,"['europop', 'swedish pop']",0.645,0.782,11.0,-5.414,1.0,0.027,0.0321,0.0,0.492,0.79,106.686
56,73MpDczkqOodQ2Xj7aOKwD,Joe Cocker,"['blues rock', 'classic rock', 'mellow gold', 'rock', 'soft rock']",0.725,0.365,1.0,-12.776,1.0,0.0558,0.0812,0.00291,0.0574,0.89,181.155
57,1YLJVmuzeM2YSUkCCaTNUB,Florence + The Machine,"['baroque pop', 'pop', 'uk alternative pop']",0.492,0.81,7.0,-5.315,1.0,0.0847,0.0416,0.00379,0.117,0.245,149.954
58,0CIvOZBEQmVtePr3dHZMPO,Danger Mouse,"['alternative hip hop', 'hip hop', 'mashup']",0.792,0.525,5.0,-7.985,0.0,0.0371,0.782,0.0254,0.115,0.644,119.364
59,17i5jLpzndlQhbS4SrTd0B,Johann Sebastian Bach,"['baroque', 'classical', 'early music', 'german baroque']",0.275,0.157,7.0,-18.752,1.0,0.0636,0.89,0.842,0.186,0.304,73.289
60,19KlLuxA7AxvQpoQYx7zhG,Aloe Blacc,"['neo soul', 'pop soul', 'r&b']",0.838,0.367,6.0,-11.833,0.0,0.0396,0.176,0.0,0.0861,0.961,95.508
61,6NwbeybX6TDtXlpXvnUOZC,Metallica,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",0.538,0.872,4.0,-7.658,0.0,0.0361,0.000608,0.573,0.0946,0.593,105.102
62,6urCAbunOQI4bLhmGpX7iS,No Doubt,"['alternative rock', 'dance pop', 'dance rock', 'permanent wave', 'pop rock']",0.52,0.709,5.0,-7.125,0.0,0.0352,0.247,1.78e-05,0.18,0.536,76.039
63,2zk1COXk7NaAaDW1KWMuio,The Raconteurs,"['alternative rock', 'garage rock', 'garage rock revival', 'indie rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'rock', 'supergroup']",0.53,0.601,9.0,-4.364,1.0,0.112,0.00882,0.0211,0.083,0.572,123.009
64,2I9zsbHhsKBzpQLLdosWss,Chuck Berry,"['classic rock', 'rock', 'rock-and-roll', 'rockabilly']",0.586,0.875,7.0,-8.219,1.0,0.124,0.639,1.17e-05,0.283,0.899,157.306
65,6MDTpYxPFL0wtFd0pjfKws,Plain White T's,"['neo mellow', 'pop punk', 'pop rock']",0.531,0.542,8.0,-7.721,1.0,0.0432,0.356,0.0,0.119,0.726,171.878
66,6RcQOut9fWL6FSqeIr5M1r,Gwen Stefani,"['dance pop', 'pop']",0.918,0.918,10.0,-2.218,0.0,0.0954,0.344,5.35e-06,0.0243,0.882,110.024
67,1aY6BDvOrG1ph6HrDQPxo5,Delta Spirit,"['indie folk', 'indie rock', 'modern folk rock', 'modern rock', 'new americana', 'piano rock', 'stomp and holler']",0.475,0.841,1.0,-5.392,0.0,0.0532,0.065,0.00016,0.275,0.688,127.525
68,7JIuqL4ZqkpfGKQhYlrirs,Paramore,"['candy pop', 'pixie', 'pop emo', 'pop punk']",0.452,0.563,4.0,-6.607,1.0,0.0272,0.144,0.0,0.143,0.209,137.715
69,35OXQrwxmcS6OfGtsuFsyg,Willie Nelson,"['classic country pop', 'country', 'nashville sound', 'outlaw country', 'singer-songwriter', 'texas country']",0.714,0.715,4.0,-9.965,1.0,0.0387,0.345,0.00567,0.927,0.841,111.036
70,28UMEtwyUUy5u0UWOVHwiI,Donny Osmond,"['adult standards', 'bubblegum pop', 'classic uk pop']",0.672,0.322,7.0,-17.669,1.0,0.0339,0.144,2.96e-05,0.074,0.496,113.852
71,7oOvznREmLq8rdXz4iJiDW,Willie Nelson,"['classic country pop', 'country', 'nashville sound', 'outlaw country', 'singer-songwriter', 'texas country']",0.517,0.47,6.0,-11.38,0.0,0.0916,0.354,0.00962,0.258,0.658,170.46
72,6zD3qR35t8YYSNhMLkJTJA,Billy Bragg,"['alternative country', 'anti-folk', 'folk', 'folk punk', 'folk rock', 'permanent wave', 'roots rock', 'singer-songwriter', 'uk americana']",0.407,0.801,9.0,-6.144,1.0,0.034,0.0271,3.74e-06,0.128,0.942,200.879
73,4IoYz8XqqdowINzfRrFnhi,The Fray,"['neo mellow', 'piano rock', 'pop', 'pop rock']",0.338,0.803,8.0,-5.412,0.0,0.0413,0.0187,0.0,0.136,0.4,151.994
74,5fVZC9GiM4e8vu99W0Xf6J,The Fray,"['neo mellow', 'piano rock', 'pop', 'pop rock']",0.64,0.743,10.0,-4.08,1.0,0.0379,0.269,0.0,0.101,0.361,122.035
75,6c8QH9FMFKj0ZgNeiyOx4v,The Fray,"['neo mellow', 'piano rock', 'pop', 'pop rock']",0.591,0.699,8.0,-5.221,1.0,0.0449,0.0204,0.0,0.0614,0.733,116.029
76,0BTYL86ryKRHvAndNeoiuP,Steve Miller Band,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",0.561,0.754,9.0,-12.769,0.0,0.112,0.61,0.0194,0.328,0.642,100.08
77,3kZC0ZmFWrEHdUCmUqlvgZ,Death Cab for Cutie,"['indie pop', 'indie rock', 'modern rock', 'washington indie']",0.517,0.206,5.0,-12.233,1.0,0.0421,0.924,0.0,0.118,0.489,80.401
78,1JO1xLtVc8mWhIoE3YaCL0,The Turtles,"['bubblegum pop', 'classic rock', 'folk rock', 'psychedelic rock']",0.584,0.367,6.0,-9.638,0.0,0.0328,0.55,1.38e-05,0.0818,0.588,120.175
79,5nfqJO0rgdUXYPXHtULx53,M.I.A.,"['dance pop', 'indietronica', 'new rave']",0.699,0.941,11.0,-7.758,0.0,0.105,0.0758,0.0578,0.193,0.491,124.426
80,2LdsYkhSEEB6c801buHxlE,A.R. Rahman,"['filmi', 'modern bollywood']",0.776,0.749,7.0,-11.648,1.0,0.0711,0.235,0.000546,0.288,0.487,95.014
81,5dhQCqONiQji7k4RkhIcjq,blink-182,"['pop punk', 'punk', 'rock', 'socal pop punk']",0.653,0.774,11.0,-6.366,1.0,0.0341,0.00132,6.98e-06,0.0835,0.611,109.997
82,2PfBSkCKZDXMsJogMT0wML,Van Halen,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",0.547,0.822,0.0,-7.201,1.0,0.0292,0.0745,0.00943,0.0645,0.774,130.138
83,5uHYcK0nbEYgRaFTY5BqnP,B.o.B,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']",0.549,0.932,8.0,-4.11,0.0,0.343,0.0127,0.0,0.347,0.787,82.439
84,7zgveKrOxukG95vxIO3KHd,The Treblemakers,"['a cappella', 'college a cappella', 'hollywood']",0.574,0.525,9.0,-7.257,0.0,0.234,0.201,0.0,0.0826,0.465,112.948
85,2CrUaJk20nU1kMbezZH6h4,The Barden Bellas,"['a cappella', 'hollywood']",0.386,0.301,7.0,-6.482,1.0,0.0332,0.867,0.0,0.26,0.511,81.089
86,4JiwulOs16Kmmphg0hbLvj,The Barden Bellas,"['a cappella', 'hollywood']",0.579,0.499,3.0,-5.584,0.0,0.359,0.58,0.0,0.1,0.705,124.32
87,69rsLwERn6CaxwxErMGJML,Jimmy Dean,['nashville sound'],0.692,0.552,0.0,-9.322,1.0,0.0752,0.689,0.0,0.0993,0.417,87.032
88,4YPhn26bIFm2KUkL1VLzQG,Weezer,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']",0.635,0.435,3.0,-7.521,1.0,0.031,0.00328,6.78e-06,0.071,0.459,76.098
89,0EEqTP594cPCt6YYx1dpKh,Bilal Khan,[],0.795,0.25,6.0,-9.678,1.0,0.0304,0.866,0.0,0.124,0.516,97.967
90,6M6jVoM0ULQ2P12iQg1BOc,Camélia Jordana,"['chanson', 'french indie folk', 'french indie pop', 'french pop', 'nouvelle chanson francaise']",0.686,0.614,8.0,-5.401,1.0,0.0328,0.285,0.000573,0.173,0.405,110.931
91,4yshHBPp0MoVynV1sMCKV3,Rusted Root,"['jam band', 'pittsburgh rock', 'pop rock']",0.495,0.774,0.0,-6.543,1.0,0.0718,0.138,1.31e-05,0.128,0.715,119.398
92,6Z6YARQMx1p6RWpws3KtUo,The Sockapellas,[],0.801,0.438,1.0,-8.527,0.0,0.0406,0.246,0.0,0.239,0.749,127.784
93,5tgcdgzc2oHy1A3WJsU9uW,Gnarls Barkley,"['atl hip hop', 'neo soul']",0.489,0.915,4.0,-3.664,1.0,0.149,0.00619,0.0,0.667,0.581,150.02
94,5evKCk0uEArS1LTIQ2Wov9,Ed Motta,"['bossa nova', 'brazilian modern jazz', 'brazilian soul', 'mpb', 'rock nacional brasileiro']",0.563,0.756,8.0,-6.537,1.0,0.0309,0.0556,0.0,0.0955,0.606,96.568
95,4BVafpObsAeP2ZzrGhOBvq,Willis Earl Beal,['alternative americana'],0.731,0.076,5.0,-14.836,1.0,0.0623,0.994,0.00594,0.133,0.306,116.064
96,1tjHKKI0r82IB5KL29whHs,Muse,"['modern rock', 'permanent wave', 'rock']",0.671,0.766,2.0,-3.1,1.0,0.0378,0.00224,0.000154,0.159,0.726,104.99
97,46RVKt5Edm1zl0rXhPJZxz,Men At Work,"['album rock', 'australian rock', 'classic rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']",0.746,0.79,11.0,-4.7,0.0,0.0257,0.0485,0.0261,0.0534,0.891,107.231
98,36DyCBroDt1FjKM7zRaEOw,Tim Wilson,"['comedy', 'comic']",0.809,0.638,0.0,-6.282,1.0,0.0505,0.532,0.00294,0.0688,0.851,116.477
99,7M89hBZld7NJwn4Udby1nb,Arturo Márquez,"['latin classical', 'mexican classical']",0.313,0.226,2.0,-21.566,0.0,0.0526,0.849,0.72,0.103,0.215,98.994
100,0BG2iE6McPhmAEKIhfqy1X,Creedence Clearwater Revival,"['classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']",0.518,0.839,2.0,-3.904,1.0,0.0406,0.0359,0.0,0.0817,0.935,179.098
101,1b7LMtXCXGc2EwOIplI35z,Stealers Wheel,"['classic rock', 'classic uk pop', 'folk rock']",0.795,0.564,7.0,-10.482,1.0,0.0392,0.0934,0.000531,0.0631,0.961,124.166
102,5BSndweF91KDqyxANsZcQH,The Lumineers,"['folk-pop', 'pop', 'stomp and holler']",0.685,0.466,0.0,-9.074,1.0,0.0304,0.794,2.06e-06,0.0915,0.353,79.936
103,0nrgXY3e90xEABo3ImleLJ,Snow Patrol,"['irish rock', 'neo mellow', 'permanent wave', 'pop rock']",0.408,0.537,5.0,-6.905,1.0,0.0283,0.366,0.00598,0.118,0.0639,155.942
104,0cin3LNJuuvA3e8sAKFyfl,Lindsey Buckingham,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'soft rock']",0.565,0.496,9.0,-9.229,1.0,0.0308,0.714,0.00996,0.106,0.593,119.96
105,5oUV6yWdDM0R9Q2CizRhIt,The Shins,"['albuquerque indie', 'alternative rock', 'indie pop', 'indie rock', 'modern rock', 'portland indie', 'stomp and holler']",0.669,0.389,0.0,-11.547,1.0,0.0306,0.605,0.16,0.0905,0.649,130.015
106,1ZZYwFDt1nWoDEBbvUKMPP,Snow Patrol,"['irish rock', 'neo mellow', 'permanent wave', 'pop rock']",0.579,0.823,2.0,-4.321,1.0,0.0319,0.000439,0.00427,0.0923,0.429,118.156
107,2cGxRwrMyEAp8dEbuZaVv6,Daft Punk,"['electro', 'filter house']",0.775,0.585,10.0,-9.516,0.0,0.0271,0.0422,0.619,0.077,0.518,109.942
108,69kOkLUCkxIZYexIgSG8rq,Daft Punk,"['electro', 'filter house']",0.81,0.793,6.0,-9.404,0.0,0.0403,0.0378,1.77e-06,0.072,0.863,116.05
109,2aibwv5hGXSgw7Yru8IYTO,Red Hot Chili Peppers,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']",0.427,0.9,11.0,-3.674,1.0,0.0499,0.116,1.75e-05,0.119,0.599,104.655
110,0ZSmRnXnP5fdANtVlCok1g,Jet,"['alternative rock', 'garage rock', 'modern rock', 'rock']",0.398,0.547,0.0,-6.846,1.0,0.0261,0.414,0.00143,0.146,0.305,73.396
111,0GO8y8jQk1PkHzS31d699N,GROUPLOVE,"['indie pop', 'indie poptimism', 'indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'rock', 'stomp and holler']",0.56,0.936,3.0,-5.835,1.0,0.0439,0.00847,0.0,0.161,0.371,112.96
112,6IokZAcz9wZJMbfaXAROEx,Aerosmith,"['album rock', 'classic rock', 'hard rock', 'rock']",0.596,0.937,4.0,-4.81,1.0,0.0478,0.584,0.0,0.095,0.667,93.448
113,5gUu5PqPQwlaUAyfeGnnea,Pyotr Ilyich Tchaikovsky,"['classical', 'late romantic era', 'russian romanticism']",0.188,0.179,7.0,-15.635,1.0,0.0364,0.963,0.908,0.11,0.0758,84.219
114,60ZGteAEtPCnGE6zevgUcd,Of Monsters and Men,"['folk-pop', 'metropopolis', 'modern rock', 'pop rock', 'stomp and holler']",0.379,0.879,1.0,-4.336,0.0,0.0362,0.0421,0.00449,0.146,0.37,102.021
115,67ZyR9O1xkr9p91Vmews3V,Soundgarden,"['alternative metal', 'alternative rock', 'classic rock', 'grunge', 'hard rock', 'nu metal', 'rock']",0.356,0.717,6.0,-8.489,1.0,0.0367,0.000336,0.00012,0.0727,0.193,105.78
116,24HPkbkXJsIFC4eyg63zgQ,of Montreal,"['alternative dance', 'alternative rock', 'anti-folk', 'art pop', 'baroque pop', 'elephant 6', 'indie pop', 'indie rock', 'new rave']",0.873,0.582,5.0,-9.901,1.0,0.047,0.0282,0.0699,0.182,0.77,122.005
117,1f0VlUeHwIUVa9xkFUCZ9I,The Lonely Island,"['comedy rap', 'comic', 'pop rap']",0.638,0.924,6.0,-3.978,0.0,0.405,0.111,0.0,0.359,0.519,169.948
118,61hCBuiPWwrrnZfYsyTBGg,The Lonely Island,"['comedy rap', 'comic', 'pop rap']",0.615,0.813,6.0,-3.901,0.0,0.178,0.0576,0.0,0.269,0.525,89.918
119,1lbuL805ByZ1QRuXmKJqco,The Lonely Island,"['comedy rap', 'comic', 'pop rap']",0.762,0.707,11.0,-6.145,0.0,0.0623,0.0175,0.00049,0.136,0.624,131.209
120,1VdZ0vKfR5jneCmWIUAMxK,Ed Sheeran,"['pop', 'uk pop']",0.642,0.289,9.0,-9.918,1.0,0.0367,0.669,0.0,0.18,0.407,84.996
121,3bidbhpOYeV4knp8AIu8Xn,Macklemore & Ryan Lewis,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']",0.641,0.922,2.0,-4.457,1.0,0.0786,0.0291,0.0,0.0862,0.847,146.078
122,1CmUZGtH29Kx36C1Hleqlz,Macklemore & Ryan Lewis,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']",0.781,0.526,6.0,-6.985,0.0,0.293,0.0619,0.0,0.0457,0.662,94.992
123,7tZFMQF5SM57EXRWJNgnd7,Frédéric Chopin,"['classical', 'early romantic era', 'polish classical']",0.33,0.138,1.0,-20.258,0.0,0.0382,0.993,0.931,0.103,0.106,76.602
124,3R1T2oDzUIyTQ1e0INtErM,Frédéric Chopin,"['classical', 'early romantic era', 'polish classical']",0.455,0.025,9.0,-24.054,0.0,0.115,0.99,0.915,0.0658,0.035,128.513
125,7wZUrN8oemZfsEd1CGkbXE,Leona Lewis,"['british soul', 'dance pop', 'europop', 'pop', 'post-teen pop', 'talent show']",0.638,0.656,5.0,-5.886,1.0,0.0357,0.188,0.0,0.146,0.225,104.036
126,4AUGyVUCxL6TOZreezI8KD,Dominik Hauser,"['scorecore', 'theme']",0.0811,0.0865,9.0,-17.343,0.0,0.0361,0.985,0.952,0.104,0.0852,82.236
127,1hHGOMXjrWOZYL5NrbuPzg,Ali Zafar,"['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'pakistani pop', 'sufi']",0.866,0.511,4.0,-12.625,1.0,0.0343,0.043,5.16e-05,0.0949,0.813,104.974
128,0PV0bP3cqsQdXajY3f8pUL,Ali Zafar,"['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'pakistani pop', 'sufi']",0.807,0.69,2.0,-9.761,0.0,0.0395,0.00204,0.00211,0.112,0.963,141.337
129,2bUvp3qx5Hq47kTA0TFHzp,Ali Zafar,"['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'pakistani pop', 'sufi']",0.76,0.372,9.0,-14.176,1.0,0.0334,0.765,0.0981,0.204,0.775,98.12
130,1678G2z0LgxpOssuFsxBRT,The Roots,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'philly rap', 'political hip hop', 'southern hip hop']",0.515,0.907,7.0,-3.321,1.0,0.337,0.217,9.99e-05,0.101,0.7,190.655
